,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
22,0.183333,0.253700,-0.119916,-0.036149,-0.959140,-0.099869,0.053160,0.133075,0.000330,-0.299594,0.052813,0.000060,0.893442,0.000033,0.053486,-0.000057,0.931660,-0.000045,0.053180,0.399223,0.927152,-0.299877,0.052812,-0.000143,0.000158,0.053486,0.000110,0.000103,0.053180,0.399251,-0.375531,0.030232,0.340997
23,0.191667,0.253714,-0.120289,-0.035347,-0.959120,-0.099844,0.053264,0.133105,0.000187,-0.299611,0.053227,0.000153,0.931078,0.000017,0.053384,-0.000059,0.955777,0.000064,0.053180,0.399221,0.972969,-0.299806,0.053227,0.000099,0.000167,0.053384,-0.000038,0.000103,0.053180,0.399251,-0.375387,0.029921,0.340977
24,0.200000,0.253910,-0.120047,-0.035788,-0.959082,-0.099849,0.053089,0.133011,0.000320,-0.299584,0.052813,0.000010,0.886710,0.000044,0.053275,-0.000129,0.935471,-0.000007,0.053180,0.399152,0.937695,-0.299877,0.052812,-0.000143,0.000212,0.053275,-0.000083,0.000103,0.053180,0.399251,-0.375387,0.029921,0.340977
25,0.208333,0.253756,-0.119953,-0.036053,-0.959124,-0.099877,0.053141,0.133073,0.000320,-0.299606,0.052813,0.000062,0.896418,0.000022,0.053430,-0.000062,0.935668,-0.000047,0.053180,0.399218,0.928184,-0.299877,0.052812,-0.000143,0.000134,0.053430,0.000101,0.000103,0.053180,0.399251,-0.375531,0.030232,0.340997
26,0.216667,0.253889,-0.120052,-0.035828,-0.959085,-0.099850,0.053096,0.132993,0.000338,-0.299588,0.052813,-0.000002,0.886591,0.000039,0.053296,-0.000150,0.928802,0.000000,0.053180,0.399130,0.931145,-0.299877,0.052812,-0.000143,0.000213,0.053296,-0.000136,0.000103,0.053180,0.399251,-0.375531,0.030232,0.340997
27,0.225000,0.253779,-0.119986,-0.036018,-0.959115,-0.099850,0.053133,0.133012,0.000318,-0.299585,0.052813,0.000011,0.887191,0.000042,0.053406,-0.000127,0.936435,-0.000008,0.053180,0.399153,0.938179,-0.299877,0.052812,-0.000143,0.000208,0.053407,-0.000079,0.000103,0.053180,0.399251,-0.375531,0.030232,0.340997
28,0.233333,0.253648,-0.120247,-0.035460,-0.959138,-0.099855,0.053286,0.133134,0.000199,-0.299620,0.053227,0.000177,0.935228,0.000008,0.053450,-0.000028,0.951165,0.000046,0.053180,0.399252,0.964207,-0.299806,0.053227,0.000099,0.000134,0.053450,0.000051,0.000103,0.053180,0.399251,-0.375531,0.030232,0.340997
29,0.241667,0.253735,-0.119959,-0.036093,-0.959128,-0.099877,0.053148,0.133056,0.000303,-0.299609,0.052813,0.000052,0.896482,0.000018,0.053450,-0.000082,0.942087,-0.000038,0.053180,0.399198,0.934539,-0.299877,0.052812,-0.000143,0.000134,0.053450,0.000051,0.000103,0.053180,0.399251,-0.375608,0.030187,0.340829
30,0.250000,0.253801,-0.120002,-0.035980,-0.959109,-0.099864,0.053126,0.133026,0.000290,-0.299600,0.052813,0.000027,0.892350,0.000027,0.053384,-0.000114,0.946717,-0.000019,0.053180,0.399166,0.943301,-0.299877,0.052812,-0.000143,0.000167,0.053384,-0.000038,0.000103,0.053180,0.399251,-0.375608,0.030187,0.340829
31,0.258333,0.253785,-0.119965,-0.036002,-0.959117,-0.099852,0.053131,0.133044,0.000314,-0.299580,0.052813,0.000033,0.887921,0.000047,0.053401,-0.000090,0.937844,-0.000023,0.053180,0.399190,0.938857,-0.299877,0.052812,-0.000143,0.000202,0.053401,0.000016,0.000103,0.053180,0.399251,-0.375608,0.030187,0.340829
