,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5036,Unlabeled:5036,Unlabeled:5036,Unlabeled:5037,Unlabeled:5037,Unlabeled:5037
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E357013AC","8392B20CF49E357013AC","8392B20CF49E357013AC","8392B20CF49E357013AD","8392B20CF49E357013AD","8392B20CF49E357013AD"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
19,0.158333,0.111524,-0.546717,-0.071688,-0.826755,-0.104520,0.052376,0.143303,0.000759,-0.006123,0.052520,0.008913,0.859236,-0.305074,0.051962,0.012075,0.718241,-0.002364,0.052647,0.408922,0.853373,-0.006471,0.052520,0.008738,-0.304311,0.051963,0.012520,-0.002655,0.052646,0.408724,-0.483659,0.043944,0.325662,,,,,,
20,0.166667,0.111555,-0.546687,-0.071743,-0.826766,-0.104547,0.052367,0.143279,0.000670,-0.006143,0.052525,0.008894,0.873124,-0.305094,0.051928,0.012041,0.750864,-0.002405,0.052646,0.408903,0.873530,-0.006472,0.052525,0.008742,-0.304419,0.051930,0.012416,-0.002656,0.052646,0.408733,-0.483658,0.043940,0.325664,,,,,,
21,0.175000,0.111531,-0.546682,-0.071686,-0.826778,-0.104551,0.052382,0.143265,0.000642,-0.006142,0.052527,0.008883,0.877010,-0.305094,0.051966,0.012020,0.761231,-0.002417,0.052654,0.408892,0.880280,-0.006468,0.052526,0.008739,-0.304445,0.051967,0.012370,-0.002653,0.052654,0.408732,-0.483662,0.043967,0.325681,,,,,,
22,0.183333,0.111529,-0.546679,-0.071693,-0.826779,-0.104557,0.052380,0.143253,0.000607,-0.006148,0.052527,0.008872,0.882802,-0.305100,0.051963,0.012007,0.774430,-0.002424,0.052650,0.408881,0.887172,-0.006461,0.052527,0.008738,-0.304488,0.051964,0.012333,-0.002646,0.052650,0.408729,-0.483654,0.043942,0.325664,,,,,,
23,0.191667,0.111548,-0.546662,-0.071717,-0.826785,-0.104562,0.052371,0.143246,0.000581,-0.006148,0.052524,0.008867,0.886073,-0.305100,0.051941,0.011993,0.784634,-0.002437,0.052648,0.408876,0.893375,-0.006459,0.052523,0.008746,-0.304515,0.051942,0.012294,-0.002643,0.052648,0.408733,-0.483656,0.043938,0.325669,,,,,,
24,0.200000,0.111541,-0.546666,-0.071703,-0.826785,-0.104562,0.052376,0.143249,0.000572,-0.006149,0.052525,0.008870,0.888118,-0.305101,0.051951,0.011998,0.787509,-0.002436,0.052651,0.408879,0.895092,-0.006455,0.052524,0.008748,-0.304524,0.051953,0.012295,-0.002640,0.052650,0.408738,-0.483652,0.043924,0.325661,,,,,,
25,0.208333,0.111552,-0.546661,-0.071725,-0.826785,-0.104558,0.052373,0.143247,0.000572,-0.006145,0.052528,0.008869,0.887645,-0.305096,0.051940,0.011995,0.789219,-0.002434,0.052651,0.408878,0.894377,-0.006449,0.052527,0.008754,-0.304526,0.051941,0.012288,-0.002636,0.052651,0.408734,-0.483669,0.043960,0.325684,,,,,,
26,0.216667,0.111534,-0.546660,-0.071693,-0.826791,-0.104559,0.052381,0.143243,0.000554,-0.006144,0.052528,0.008866,0.890659,-0.305095,0.051961,0.011988,0.795027,-0.002438,0.052653,0.408875,0.898959,-0.006445,0.052528,0.008752,-0.304539,0.051962,0.012269,-0.002632,0.052652,0.408739,-0.483660,0.043942,0.325674,,,,,,
27,0.225000,0.111542,-0.546657,-0.071693,-0.826792,-0.104558,0.052377,0.143239,0.000546,-0.006142,0.052523,0.008862,0.891959,-0.305093,0.051954,0.011983,0.797054,-0.002438,0.052653,0.408872,0.901794,-0.006444,0.052522,0.008747,-0.304540,0.051955,0.012258,-0.002628,0.052652,0.408742,-0.483664,0.043945,0.325671,,,,,,
28,0.233333,0.111543,-0.546654,-0.071710,-0.826792,-0.104555,0.052374,0.143245,0.000557,-0.006138,0.052526,0.008868,0.889508,-0.305090,0.051948,0.011988,0.794204,-0.002436,0.052649,0.408878,0.898385,-0.006442,0.052526,0.008757,-0.304531,0.051949,0.012268,-0.002629,0.052648,0.408740,-0.483675,0.043963,0.325688,,,,,,
