,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5149,Unlabeled:5149,Unlabeled:5149,Unlabeled:5150,Unlabeled:5150,Unlabeled:5150
,,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E3573100000001,8392B20CF49E3573100000001,8392B20CF49E3573100000001,8392B20CF49E3573100000002,8392B20CF49E3573100000002,8392B20CF49E3573100000002,8392B20CF49E3573100000003,8392B20CF49E3573100000003,8392B20CF49E3573100000003,8392B20CF49E35701412,8392B20CF49E35701412,8392B20CF49E35701412,8392B20CF49E3570141D,8392B20CF49E3570141D,8392B20CF49E3570141D,8392B20CF49E3570141E,8392B20CF49E3570141E,8392B20CF49E3570141E
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
19,0.158333,0.111327,-0.542946,-0.070324,-0.82938,-0.099922,0.052825,0.133598,0.000141,-0.000268,0.052765,0.000137,0.974433,-0.299237,0.052806,0.000495,0.967266,-0.000261,0.052903,0.400163,0.952748,-0.000323,0.052765,0.000102,-0.299247,0.052806,0.000406,-0.000194,0.052903,0.400289,-0.507212,0.055804,0.321844,,,,,,
20,0.166667,0.111328,-0.542943,-0.070329,-0.829381,-0.09992,0.052828,0.133598,0.000141,-0.000266,0.05277,0.000137,0.97424,-0.299234,0.052808,0.000493,0.967102,-0.00026,0.052906,0.400163,0.952741,-0.000321,0.05277,0.000102,-0.299244,0.052808,0.000405,-0.000193,0.052906,0.400288,-0.507283,0.055722,0.321986,,,,,,
21,0.175,0.111324,-0.542951,-0.070331,-0.829376,-0.09992,0.052829,0.133594,0.000139,-0.000269,0.052772,0.000131,0.97567,-0.299237,0.052811,0.000493,0.967672,-0.000256,0.052905,0.400157,0.952715,-0.000321,0.052772,0.000098,-0.299252,0.052811,0.000403,-0.000188,0.052905,0.400282,-0.507332,0.055601,0.322109,,,,,,
22,0.183333,0.111325,-0.542946,-0.070344,-0.829378,-0.099917,0.052828,0.13359,0.000139,-0.000264,0.052775,0.000128,0.975074,-0.299232,0.052807,0.000488,0.967236,-0.000254,0.052903,0.400155,0.953583,-0.00032,0.052775,0.000097,-0.299243,0.052807,0.000399,-0.000187,0.052903,0.400277,-0.507374,0.055435,0.322191,,,,,,
23,0.191667,0.111323,-0.542945,-0.070343,-0.829379,-0.099918,0.052829,0.133587,0.00014,-0.000265,0.052776,0.000125,0.974862,-0.299233,0.052809,0.000484,0.967188,-0.000256,0.052903,0.400151,0.953218,-0.00032,0.052776,0.000093,-0.299244,0.052809,0.000395,-0.000188,0.052903,0.400275,-0.507409,0.055268,0.32227,,,,,,
24,0.2,0.11132,-0.542952,-0.070334,-0.829376,-0.09992,0.052831,0.133594,0.000136,-0.000268,0.052774,0.000131,0.97557,-0.299237,0.052813,0.000494,0.968536,-0.000255,0.052904,0.400157,0.953762,-0.000319,0.052774,0.000097,-0.299249,0.052813,0.000408,-0.00019,0.052904,0.40028,-0.507411,0.055093,0.322345,,,,,,
25,0.208333,0.111316,-0.542955,-0.070321,-0.829375,-0.09992,0.052834,0.133592,0.000136,-0.000269,0.052774,0.000129,0.975801,-0.299237,0.052821,0.000493,0.968372,-0.000253,0.052907,0.400155,0.953568,-0.00032,0.052774,0.000095,-0.299251,0.052821,0.000406,-0.000187,0.052907,0.400278,-0.507433,0.054881,0.322272,,,,,,
26,0.216667,0.111314,-0.542958,-0.070326,-0.829373,-0.099917,0.052834,0.133588,0.000136,-0.000267,0.052776,0.000124,0.975245,-0.299236,0.052821,0.00049,0.968622,-0.000248,0.052906,0.40015,0.953799,-0.000319,0.052776,0.000088,-0.299247,0.052821,0.000406,-0.000184,0.052906,0.400273,-0.507403,0.054708,0.322226,,,,,,
27,0.225,0.111319,-0.542952,-0.070315,-0.829377,-0.099917,0.052832,0.133589,0.000139,-0.000264,0.05277,0.000126,0.974266,-0.299233,0.052818,0.000487,0.967806,-0.000253,0.052907,0.400153,0.953516,-0.000319,0.05277,0.00009,-0.299242,0.052818,0.000402,-0.000188,0.052907,0.400276,-0.507422,0.054556,0.322182,,,,,,
28,0.233333,0.111317,-0.542946,-0.070333,-0.82938,-0.099919,0.052831,0.133589,0.000139,-0.000265,0.052775,0.000127,0.974638,-0.299234,0.052815,0.000486,0.967616,-0.000257,0.052903,0.400153,0.953669,-0.00032,0.052775,0.000093,-0.299243,0.052815,0.000399,-0.000191,0.052903,0.400276,-0.507408,0.054372,0.322162,,,,,,
