,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E3573100000001,8392B20CF49E3573100000001,8392B20CF49E3573100000001,8392B20CF49E3573100000002,8392B20CF49E3573100000002,8392B20CF49E3573100000002,8392B20CF49E3573100000003,8392B20CF49E3573100000003,8392B20CF49E3573100000003,8392B20CF49E3571D13E00000000,8392B20CF49E3571D13E00000000,8392B20CF49E3571D13E00000000
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,0.175,0.25665,-0.503676,-0.149426,-0.811242,-0.100032,0.053376,0.13407,0.000322,0.00023,0.053632,0.000267,0.947395,-0.300501,0.05352,0.000984,0.919746,0.000173,0.052976,0.400959,0.891348,0.000257,0.053632,0.000323,-0.300376,0.053519,0.001186,0.000016,0.052977,0.40069,-0.393043,0.031521,0.336276
22,0.183333,0.25665,-0.503668,-0.149446,-0.811243,-0.100035,0.053373,0.134069,0.000316,0.000228,0.053635,0.000267,0.948263,-0.300503,0.053512,0.000982,0.922317,0.000169,0.052971,0.400958,0.892194,0.000259,0.053635,0.000327,-0.300385,0.053512,0.00118,0.000015,0.052971,0.40069,-0.393054,0.031527,0.336288
23,0.191667,0.256606,-0.503702,-0.149366,-0.811251,-0.100024,0.053392,0.134087,0.000348,0.000237,0.053633,0.000283,0.943104,-0.300494,0.053568,0.001004,0.91145,0.000186,0.052974,0.400975,0.884073,0.00026,0.053633,0.000337,-0.300352,0.053568,0.001224,0.000015,0.052974,0.400691,-0.393011,0.03155,0.336292
24,0.2,0.256639,-0.503686,-0.149379,-0.811247,-0.100029,0.053383,0.134074,0.000332,0.000235,0.053625,0.000273,0.94592,-0.300495,0.053541,0.000987,0.916606,0.000175,0.052982,0.400964,0.888334,0.000262,0.053625,0.000327,-0.300365,0.053541,0.001196,0.000011,0.052982,0.400689,-0.39303,0.031494,0.336263
25,0.208333,0.256619,-0.503702,-0.149371,-0.811245,-0.100026,0.053391,0.134087,0.000337,0.000234,0.053632,0.000282,0.946065,-0.300497,0.05356,0.001005,0.913603,0.000185,0.052981,0.400973,0.887586,0.00026,0.053632,0.000328,-0.300359,0.05356,0.001224,0.000015,0.052981,0.400699,-0.393039,0.031526,0.336274
26,0.216667,0.256604,-0.503719,-0.149341,-0.811246,-0.100027,0.053394,0.134083,0.000349,0.000231,0.053626,0.000277,0.94364,-0.300499,0.053577,0.001004,0.909446,0.000188,0.052979,0.400968,0.885533,0.00025,0.053626,0.000321,-0.30035,0.053576,0.001228,0.000015,0.05298,0.400691,-0.393006,0.03159,0.336293
27,0.225,0.256609,-0.503701,-0.149378,-0.811248,-0.100021,0.053397,0.134077,0.000344,0.000239,0.053641,0.000272,0.943722,-0.300492,0.053569,0.000996,0.912843,0.000191,0.05298,0.400963,0.885704,0.000261,0.053641,0.000326,-0.300352,0.053569,0.001211,0.000023,0.052981,0.400684,-0.392987,0.031551,0.33628
28,0.233333,0.256658,-0.503674,-0.149418,-0.811242,-0.100032,0.053376,0.134074,0.000324,0.000231,0.053629,0.000272,0.948021,-0.300499,0.053518,0.000986,0.91912,0.000171,0.052981,0.400963,0.889985,0.000263,0.053629,0.000325,-0.300375,0.053518,0.001194,0.000008,0.052982,0.400692,-0.392994,0.031551,0.336281
29,0.241667,0.256625,-0.503694,-0.14941,-0.811242,-0.100029,0.053389,0.134082,0.000344,0.00023,0.053641,0.000276,0.943707,-0.300501,0.053547,0.001001,0.91316,0.000185,0.052978,0.400968,0.885343,0.000254,0.053641,0.000332,-0.300363,0.053547,0.001217,0.000017,0.052979,0.400686,-0.393023,0.031519,0.336256
30,0.25,0.256644,-0.503694,-0.149392,-0.811239,-0.100026,0.053391,0.134079,0.000333,0.000234,0.053635,0.000275,0.945525,-0.300496,0.053544,0.000997,0.915339,0.000184,0.052992,0.400966,0.889594,0.000255,0.053635,0.000326,-0.30036,0.053544,0.001206,0.000021,0.052993,0.400696,-0.393059,0.031525,0.33622
